Invoice,InvoiceDate,Customer ID,StockCode,Description,Quantity,Price,Revenue,Country
489434,12/1/2009 7:45,13085,85048,15Cm Christmas Glass Ball 20 Lights,12,6.95,83.4,United Kingdom
489434,12/1/2009 7:45,13085,79323P,Pink Cherry Lights,12,6.95,83.4,United Kingdom
489434,12/1/2009 7:45,13085,79323W, White Cherry Lights,12,6.95,83.4,United Kingdom
489434,12/1/2009 7:45,13085,22041,"Record Frame 7 Single Size """"",48,6.95,333.6,United Kingdom
489434,12/1/2009 7:45,13085,21232,Strawberry Ceramic Trinket Box,24,6.95,166.8,United Kingdom
489434,12/1/2009 7:45,13085,22064,Pink Doughnut Trinket Pot ,24,6.95,166.8,United Kingdom
489434,12/1/2009 7:45,13085,21871,Save The Planet Mug,24,6.95,166.8,United Kingdom
489434,12/1/2009 7:45,13085,21523,Fancy Font Home Sweet Home Doormat,10,6.95,69.5,United Kingdom
489435,12/1/2009 7:46,13085,22350,Cat Bowl ,12,6.95,83.4,United Kingdom
489435,12/1/2009 7:46,13085,22349,"Dog Bowl , Chasing Ball Design",12,6.95,83.4,United Kingdom
489435,12/1/2009 7:46,13085,22195,Heart Measuring Spoons Large,24,6.95,166.8,United Kingdom
489435,12/1/2009 7:46,13085,22353,Lunchbox With Cutlery Fairy Cakes ,12,6.95,83.4,United Kingdom
489436,12/1/2009 9:06,13078,48173C,Door Mat Black Flock ,10,6.95,69.5,United Kingdom
489436,12/1/2009 9:06,13078,21755,Love Building Block Word,18,6.95,125.1,United Kingdom
489436,12/1/2009 9:06,13078,21754,Home Building Block Word,3,6.95,20.85,United Kingdom
489436,12/1/2009 9:06,13078,84879,Assorted Colour Bird Ornament,16,6.95,111.2,United Kingdom
489436,12/1/2009 9:06,13078,22119, Peace Wooden Block Letters,3,6.95,20.85,United Kingdom
489436,12/1/2009 9:06,13078,22142,Christmas Craft White Fairy ,12,6.95,83.4,United Kingdom
489436,12/1/2009 9:06,13078,22296,Heart Ivory Trellis Large,12,6.95,83.4,United Kingdom
489436,12/1/2009 9:06,13078,22295,Heart Filigree Dove Large,12,6.95,83.4,United Kingdom
489436,12/1/2009 9:06,13078,22109,Full English Breakfast Plate,16,6.95,111.2,United Kingdom
489436,12/1/2009 9:06,13078,22107,Pizza Plate In Box,4,6.95,27.8,United Kingdom
489436,12/1/2009 9:06,13078,22194,Black Diner Wall Clock,2,6.95,13.9,United Kingdom
489436,12/1/2009 9:06,13078,35004B,Set Of 3 Black Flying Ducks,12,6.95,83.4,United Kingdom
489436,12/1/2009 9:06,13078,82582,Area Patrolled Metal Sign,12,6.95,83.4,United Kingdom
489436,12/1/2009 9:06,13078,21181,Please One Person  Metal Sign,12,6.95,83.4,United Kingdom
489436,12/1/2009 9:06,13078,21756,Bath Building Block Word,3,6.95,20.85,United Kingdom
489436,12/1/2009 9:06,13078,21333,Classic White Frame,6,6.95,41.7,United Kingdom
489436,12/1/2009 9:06,13078,84596F,Small Marshmallows Pink Bowl,8,6.95,55.6,United Kingdom
489436,12/1/2009 9:06,13078,84596L,Biscuits Small Bowl Light Blue,8,6.95,55.6,United Kingdom
489436,12/1/2009 9:06,13078,22111,Scottie Dog Hot Water Bottle,24,6.95,166.8,United Kingdom
489437,12/1/2009 9:08,15362,22143,Christmas Craft Heart Decorations,6,6.95,41.7,United Kingdom
489437,12/1/2009 9:08,15362,22145,Christmas Craft Heart Stocking ,6,6.95,41.7,United Kingdom
489437,12/1/2009 9:08,15362,22130,Party Cone Christmas Decoration ,12,6.95,83.4,United Kingdom
489437,12/1/2009 9:08,15362,21364,Peace Small Wood Letters,2,6.95,13.9,United Kingdom
489437,12/1/2009 9:08,15362,21360,Joy Large Wood Letters,1,6.95,6.95,United Kingdom
489437,12/1/2009 9:08,15362,21351,Cinammon & Orange Wreath,2,6.95,13.9,United Kingdom
489437,12/1/2009 9:08,15362,21352,Eucalyptus & Pinecone  Wreath,2,6.95,13.9,United Kingdom
489437,12/1/2009 9:08,15362,35400,Wooden Box Advent Calendar ,2,6.95,13.9,United Kingdom
489437,12/1/2009 9:08,15362,20695,Floral Blue Monster,3,6.95,20.85,United Kingdom
489437,12/1/2009 9:08,15362,37370,Retro Coffee Mugs Assorted,12,6.95,83.4,United Kingdom
489437,12/1/2009 9:08,15362,10002,Inflatable Political Globe ,12,6.95,83.4,United Kingdom
489437,12/1/2009 9:08,15362,84507B,Stripes Design Monkey Doll,6,6.95,41.7,United Kingdom
489437,12/1/2009 9:08,15362,20703,Blue Padded Soft Mobile,3,6.95,20.85,United Kingdom
489437,12/1/2009 9:08,15362,21987,Pack Of 6 Skull Paper Cups,12,6.95,83.4,United Kingdom
489437,12/1/2009 9:08,15362,21989,Pack Of 20 Skull Paper Napkins,12,6.95,83.4,United Kingdom
489437,12/1/2009 9:08,15362,84970S,Hanging Heart Zinc T-Light Holder,12,6.95,83.4,United Kingdom
489437,12/1/2009 9:08,15362,20971,Pink Blue Felt Craft Trinket Box,12,6.95,83.4,United Kingdom
489437,12/1/2009 9:08,15362,22271,Feltcraft Doll Rosie,6,6.95,41.7,United Kingdom
489437,12/1/2009 9:08,15362,22272,Feltcraft Doll Maria,6,6.95,41.7,United Kingdom
489437,12/1/2009 9:08,15362,22274,Feltcraft Doll Emily,6,6.95,41.7,United Kingdom
489437,12/1/2009 9:08,15362,21912,Vintage Snakes & Ladders,4,6.95,27.8,United Kingdom
489437,12/1/2009 9:08,15362,22111,Scottie Dog Hot Water Bottle,3,6.95,20.85,United Kingdom
489437,12/1/2009 9:08,15362,22112,Chocolate Hot Water Bottle,3,6.95,20.85,United Kingdom
489438,12/1/2009 9:24,18102,21329,Dinosaurs  Writing Set ,28,6.95,194.6,United Kingdom
489438,12/1/2009 9:24,18102,21252,Set Of Meadow  Flower Stickers,30,6.95,208.5,United Kingdom
489438,12/1/2009 9:24,18102,21100,Charlie And Lola Charlotte Bag,30,6.95,208.5,United Kingdom
489438,12/1/2009 9:24,18102,21033,Jumbo Bag Charlie And Lola Toys,30,6.95,208.5,United Kingdom
489438,12/1/2009 9:24,18102,20711,Jumbo Bag Toys ,60,6.95,417,United Kingdom
489438,12/1/2009 9:24,18102,21410,Country Cottage  Doorstop Green,32,6.95,222.4,United Kingdom
489438,12/1/2009 9:24,18102,21411,Gingham Heart  Doorstop Red,32,6.95,222.4,United Kingdom
489438,12/1/2009 9:24,18102,84031A,Charlie+Lola Red Hot Water Bottle ,56,6.95,389.2,United Kingdom
489438,12/1/2009 9:24,18102,84031B,Charlie Lola Blue Hot Water Bottle ,56,6.95,389.2,United Kingdom
489438,12/1/2009 9:24,18102,84032A,Charlie+Lola Pink Hot Water Bottle,60,6.95,417,United Kingdom
489438,12/1/2009 9:24,18102,84032B,Charlie + Lola Red Hot Water Bottle,56,6.95,389.2,United Kingdom
489438,12/1/2009 9:24,18102,84519A,Tomato Charlie+Lola Coaster Set,56,6.95,389.2,United Kingdom
489438,12/1/2009 9:24,18102,84519B,Carrot Charlie+Lola Coaster Set,60,6.95,417,United Kingdom
489438,12/1/2009 9:24,18102,85132A,Charlie + Lola Biscuits Tins,60,6.95,417,United Kingdom
489438,12/1/2009 9:24,18102,85132C,Charlie And Lola Figures Tins,60,6.95,417,United Kingdom
489438,12/1/2009 9:24,18102,85183A,Charlie & Lola Wastepaper Bin Blue,60,6.95,417,United Kingdom
489438,12/1/2009 9:24,18102,85183B,Charlie & Lola Wastepaper Bin Flora,60,6.95,417,United Kingdom
489439,12/1/2009 9:28,12682,22065,Christmas Pudding Trinket Pot ,12,6.95,83.4,France
489439,12/1/2009 9:28,12682,22138,Baking Set 9 Piece Retrospot ,9,6.95,62.55,France
489439,12/1/2009 9:28,12682,22139,Retro Spot Tea Set Ceramic 11 Pc ,9,6.95,62.55,France
489439,12/1/2009 9:28,12682,22352,Lunchbox With Cutlery Retrospot ,12,6.95,83.4,France
489439,12/1/2009 9:28,12682,85014A,Black/Blue Dots Ruffled Umbrella,3,6.95,20.85,France
489439,12/1/2009 9:28,12682,85014B,Red/White Dots Ruffled Umbrella,3,6.95,20.85,France
489439,12/1/2009 9:28,12682,16161P,Wrap English Rose ,25,6.95,173.75,France
489439,12/1/2009 9:28,12682,16169N,Wrap Blue Russian Folkart,25,6.95,173.75,France
489439,12/1/2009 9:28,12682,21491,Set Of Three Vintage Gift Wraps,6,6.95,41.7,France
489439,12/1/2009 9:28,12682,22333,Retro Sport Party Bag + Sticker Set,8,6.95,55.6,France
489439,12/1/2009 9:28,12682,85216,Assorted Cakes Fridge Magnets,12,6.95,83.4,France
489439,12/1/2009 9:28,12682,21493, Vintage Design Gift Tags,12,6.95,83.4,France
489439,12/1/2009 9:28,12682,22130,Party Cone Christmas Decoration ,24,6.95,166.8,France
489439,12/1/2009 9:28,12682,22064,Pink Doughnut Trinket Pot ,12,6.95,83.4,France
489439,12/1/2009 9:28,12682,21731,Red Toadstool Led Night Light,24,6.95,166.8,France
489439,12/1/2009 9:28,12682,85232B,Set/3 Russian Doll Stacking Tins,6,6.95,41.7,France
489439,12/1/2009 9:28,12682,84691,Pack 20 Dolly Pegs,12,6.95,83.4,France
489439,12/1/2009 9:28,12682,20749,Assorted Colour Mini Cases,2,6.95,13.9,France
489439,12/1/2009 9:28,12682,POST,Postage,3,6.95,20.85,France
489440,12/1/2009 9:43,18087,22350,Cat Bowl ,8,6.95,55.6,United Kingdom
489440,12/1/2009 9:43,18087,22349,"Dog Bowl , Chasing Ball Design",8,6.95,55.6,United Kingdom
489441,12/1/2009 9:44,18087,22321,Bird Decoration Red Spot,12,6.95,83.4,United Kingdom
489441,12/1/2009 9:44,18087,22138,Baking Set 9 Piece Retrospot ,6,6.95,41.7,United Kingdom
489441,12/1/2009 9:44,18087,84029E,Red Woolly Hottie White Heart.,36,6.95,250.2,United Kingdom
489441,12/1/2009 9:44,18087,22111,Scottie Dog Hot Water Bottle,48,6.95,333.6,United Kingdom
489442,12/1/2009 9:46,13635,21955,Union Jack Guns & Roses  Doormat,2,6.95,13.9,United Kingdom
489442,12/1/2009 9:46,13635,22111,Scottie Dog Hot Water Bottle,3,6.95,20.85,United Kingdom
489442,12/1/2009 9:46,13635,22296,Heart Ivory Trellis Large,12,6.95,83.4,United Kingdom
489442,12/1/2009 9:46,13635,84899E,Yellow + Brown Bear Felt Purse Kit,12,6.95,83.4,United Kingdom
489442,12/1/2009 9:46,13635,22271,Feltcraft Doll Rosie,6,6.95,41.7,United Kingdom
489442,12/1/2009 9:46,13635,22272,Feltcraft Doll Maria,6,6.95,41.7,United Kingdom
489442,12/1/2009 9:46,13635,85123A,White Hanging Heart T-Light Holder,6,6.95,41.7,United Kingdom
489442,12/1/2009 9:46,13635,21582,Kings Choice Small Tube Matches,20,6.95,139,United Kingdom
489442,12/1/2009 9:46,13635,21586,Kings Choice Giant Tube Matches,12,6.95,83.4,United Kingdom
489442,12/1/2009 9:46,13635,21590,Kings Choice Cigar Box Matches ,48,6.95,333.6,United Kingdom
489442,12/1/2009 9:46,13635,22091,Empire Tissue Box,12,6.95,83.4,United Kingdom
489442,12/1/2009 9:46,13635,84251J,"Greeting Card, The Black Cat",12,6.95,83.4,United Kingdom
489442,12/1/2009 9:46,13635,22024,Rainy Ladies Birthday Card,12,6.95,83.4,United Kingdom
489442,12/1/2009 9:46,13635,22026,Banquet Birthday  Card  ,12,6.95,83.4,United Kingdom
489442,12/1/2009 9:46,13635,22029,Space Boy Birthday Card,12,6.95,83.4,United Kingdom
489442,12/1/2009 9:46,13635,22025,Ring Of Roses Birthday Card,12,6.95,83.4,United Kingdom
489442,12/1/2009 9:46,13635,22031,Botanical Lavender Birthday Card,12,6.95,83.4,United Kingdom
