Invoice,InvoiceDate,Customer ID,StockCode,Description,Quantity,Price,Revenue,Country,TotalAmount
489434,2009-12-01 07:45:00,13085,85048,15Cm Christmas Glass Ball 20 Lights,12.0,6.95,83.4,United Kingdom,83.4
489434,2009-12-01 07:45:00,13085,79323P,Pink Cherry Lights,12.0,6.95,83.4,United Kingdom,83.4
489434,2009-12-01 07:45:00,13085,79323W, White Cherry Lights,12.0,6.95,83.4,United Kingdom,83.4
489434,2009-12-01 07:45:00,13085,22041,"Record Frame 7 Single Size """"",48.0,6.95,333.6,United Kingdom,333.6
489434,2009-12-01 07:45:00,13085,21232,Strawberry Ceramic Trinket Box,24.0,6.95,166.8,United Kingdom,166.8
489434,2009-12-01 07:45:00,13085,22064,Pink Doughnut Trinket Pot ,24.0,6.95,166.8,United Kingdom,166.8
489434,2009-12-01 07:45:00,13085,21871,Save The Planet Mug,24.0,6.95,166.8,United Kingdom,166.8
489434,2009-12-01 07:45:00,13085,21523,Fancy Font Home Sweet Home Doormat,10.0,6.95,69.5,United Kingdom,69.5
489435,2009-12-01 07:46:00,13085,22350,Cat Bowl ,12.0,6.95,83.4,United Kingdom,83.4
489435,2009-12-01 07:46:00,13085,22349,"Dog Bowl , Chasing Ball Design",12.0,6.95,83.4,United Kingdom,83.4
489435,2009-12-01 07:46:00,13085,22195,Heart Measuring Spoons Large,24.0,6.95,166.8,United Kingdom,166.8
489435,2009-12-01 07:46:00,13085,22353,Lunchbox With Cutlery Fairy Cakes ,12.0,6.95,83.4,United Kingdom,83.4
489436,2009-12-01 09:06:00,13078,48173C,Door Mat Black Flock ,10.0,6.95,69.5,United Kingdom,69.5
489436,2009-12-01 09:06:00,13078,21755,Love Building Block Word,18.0,6.95,125.1,United Kingdom,125.10000000000001
489436,2009-12-01 09:06:00,13078,21754,Home Building Block Word,3.0,6.95,20.85,United Kingdom,20.85
489436,2009-12-01 09:06:00,13078,84879,Assorted Colour Bird Ornament,16.0,6.95,111.2,United Kingdom,111.2
489436,2009-12-01 09:06:00,13078,22119, Peace Wooden Block Letters,3.0,6.95,20.85,United Kingdom,20.85
489436,2009-12-01 09:06:00,13078,22142,Christmas Craft White Fairy ,12.0,6.95,83.4,United Kingdom,83.4
489436,2009-12-01 09:06:00,13078,22296,Heart Ivory Trellis Large,12.0,6.95,83.4,United Kingdom,83.4
489436,2009-12-01 09:06:00,13078,22295,Heart Filigree Dove Large,12.0,6.95,83.4,United Kingdom,83.4
489436,2009-12-01 09:06:00,13078,22109,Full English Breakfast Plate,16.0,6.95,111.2,United Kingdom,111.2
489436,2009-12-01 09:06:00,13078,22107,Pizza Plate In Box,4.0,6.95,27.8,United Kingdom,27.8
489436,2009-12-01 09:06:00,13078,22194,Black Diner Wall Clock,2.0,6.95,13.9,United Kingdom,13.9
489436,2009-12-01 09:06:00,13078,35004B,Set Of 3 Black Flying Ducks,12.0,6.95,83.4,United Kingdom,83.4
489436,2009-12-01 09:06:00,13078,82582,Area Patrolled Metal Sign,12.0,6.95,83.4,United Kingdom,83.4
489436,2009-12-01 09:06:00,13078,21181,Please One Person  Metal Sign,12.0,6.95,83.4,United Kingdom,83.4
489436,2009-12-01 09:06:00,13078,21756,Bath Building Block Word,3.0,6.95,20.85,United Kingdom,20.85
489436,2009-12-01 09:06:00,13078,21333,Classic White Frame,6.0,6.95,41.7,United Kingdom,41.7
489436,2009-12-01 09:06:00,13078,84596F,Small Marshmallows Pink Bowl,8.0,6.95,55.6,United Kingdom,55.6
489436,2009-12-01 09:06:00,13078,84596L,Biscuits Small Bowl Light Blue,8.0,6.95,55.6,United Kingdom,55.6
489436,2009-12-01 09:06:00,13078,22111,Scottie Dog Hot Water Bottle,24.0,6.95,166.8,United Kingdom,166.8
489437,2009-12-01 09:08:00,15362,22143,Christmas Craft Heart Decorations,6.0,6.95,41.7,United Kingdom,41.7
489437,2009-12-01 09:08:00,15362,22145,Christmas Craft Heart Stocking ,6.0,6.95,41.7,United Kingdom,41.7
489437,2009-12-01 09:08:00,15362,22130,Party Cone Christmas Decoration ,12.0,6.95,83.4,United Kingdom,83.4
489437,2009-12-01 09:08:00,15362,21364,Peace Small Wood Letters,2.0,6.95,13.9,United Kingdom,13.9
489437,2009-12-01 09:08:00,15362,21360,Joy Large Wood Letters,1.0,6.95,6.95,United Kingdom,6.95
489437,2009-12-01 09:08:00,15362,21351,Cinammon & Orange Wreath,2.0,6.95,13.9,United Kingdom,13.9
489437,2009-12-01 09:08:00,15362,21352,Eucalyptus & Pinecone  Wreath,2.0,6.95,13.9,United Kingdom,13.9
489437,2009-12-01 09:08:00,15362,35400,Wooden Box Advent Calendar ,2.0,6.95,13.9,United Kingdom,13.9
489437,2009-12-01 09:08:00,15362,20695,Floral Blue Monster,3.0,6.95,20.85,United Kingdom,20.85
489437,2009-12-01 09:08:00,15362,37370,Retro Coffee Mugs Assorted,12.0,6.95,83.4,United Kingdom,83.4
